pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,lat,long,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,st_met,sy_dist,st_logg,pl_orbsmax
kap And b,kap And,1,1,Imaging,2012,Subaru Telescope,19.8255,-155.476,11.561052,12.3,4327.36,0,98.57,0.02,411.144,3.78,55
mu2 Sco b,mu2 Sco,1,1,Imaging,2022,Paranal Observatory,-24.628,-70.40489,11.561052,12.3,4576.72906,0.56,98.57,0.02,411.144,3.8,242.4
K2-2016-BLG-0005L b,K2-2016-BLG-0005L,1,1,Microlensing,2023,K2,0,0,4700,13.7,349.61125,0,98.57,0.02,5200,0,4.16
OGLE-2003-BLG-235L b,OGLE-2003-BLG-235L,1,1,Microlensing,2004,OGLE,-29.0146,-70.6926,11.561052,13.2,830,0,98.57,0.02,5800,0,4.3
OGLE-2005-BLG-071L b,OGLE-2005-BLG-071L,1,1,Microlensing,2005,OGLE,-29.0146,-70.6926,11.561052,13,1200,0,98.57,0.02,3200,0,3.6
OGLE-2005-BLG-169L b,OGLE-2005-BLG-169L,1,1,Microlensing,2006,OGLE,-29.0146,-70.6926,11.561052,3.84,14.1,0,98.57,0.02,4100,0,3.5
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,1,1,Microlensing,2005,OGLE,-29.0146,-70.6926,3285,2.21,5.5,0,98.57,0.02,6600,0,2.6
OGLE-2006-BLG-109L b,OGLE-2006-BLG-109L,1,2,Microlensing,2008,OGLE,-29.0146,-70.6926,1788.5,14,231,0,98.57,0.02,1510,0,2.3
OGLE-2006-BLG-109L c,OGLE-2006-BLG-109L,1,2,Microlensing,2008,OGLE,-29.0146,-70.6926,4927.5,11.1,86,0.15,98.57,0.02,1510,0,4.5
OGLE-2006-BLG-284L A b,OGLE-2006-BLG-284L A,2,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,14.3,144,0,98.57,0.02,4000,0,2.17
OGLE-2007-BLG-349L AB c,OGLE-2007-BLG-349L A,2,1,Microlensing,2016,OGLE,-29.0146,-70.6926,2557,10.7,80,0,98.57,0.02,2760,0,2.59
OGLE-2007-BLG-368L b,OGLE-2007-BLG-368L,1,1,Microlensing,2009,OGLE,-29.0146,-70.6926,11.561052,4.72,20,0,98.57,0.02,5900,0,2.8
OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,2,1,Microlensing,2014,OGLE,-29.0146,-70.6926,11.561052,8.74,57,0,98.57,0.02,8100,0,15
OGLE-2008-BLG-355L b,OGLE-2008-BLG-355L,1,1,Microlensing,2014,OGLE,-29.0146,-70.6926,11.561052,12.9,1500,0,98.57,0.02,6800,0,1.7
OGLE-2011-BLG-0173L b,OGLE-2011-BLG-0173L,1,1,Microlensing,2018,OGLE,-29.0146,-70.6926,11.561052,9.01,60,0,98.57,0.02,6100,0,8
OGLE-2011-BLG-0251L b,OGLE-2011-BLG-0251L,1,1,Microlensing,2012,OGLE,-29.0146,-70.6926,11.561052,14.2,170,0,98.57,0.02,2570,0,2.72
OGLE-2011-BLG-0265L b,OGLE-2011-BLG-0265L,1,1,Microlensing,2015,OGLE,-29.0146,-70.6926,11.561052,13.9,280,0,98.57,0.02,4380,0,1.89
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,1,2,Microlensing,2012,OGLE,-29.0146,-70.6926,11.561052,7.72,46.1,0,98.57,0.02,4019,0,4
OGLE-2012-BLG-0026L c,OGLE-2012-BLG-0026L,1,2,Microlensing,2012,OGLE,-29.0146,-70.6926,11.561052,13.9,270,0,98.57,0.02,4019,0,4.8
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,1,1,Microlensing,2013,OGLE,-29.0146,-70.6926,11.561052,13.4,588,0,98.57,0.02,1760,0,0.87
OGLE-2012-BLG-0406L b,OGLE-2012-BLG-0406L,1,1,Microlensing,2013,OGLE,-29.0146,-70.6926,11.561052,13.2,868,0,98.57,0.02,4970,0,3.45
OGLE-2012-BLG-0563L b,OGLE-2012-BLG-0563L,1,1,Microlensing,2015,OGLE,-29.0146,-70.6926,11.561052,13.6,120,0,98.57,0.02,1300,0,0.74
OGLE-2012-BLG-0724L b,OGLE-2012-BLG-0724L,1,1,Microlensing,2016,OGLE,-29.0146,-70.6926,11.561052,14.3,150,0,98.57,0.02,6700,0,1.6
OGLE-2012-BLG-0838L b,OGLE-2012-BLG-0838L,1,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,8.39,53.1,0,98.57,0.02,6320,0,4.43
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,1,1,Microlensing,2016,OGLE,-29.0146,-70.6926,11.561052,6.56,35,0,98.57,0.02,2600,0,2.6
